head_yaw,head_thrust,head_slip,reward_out,lick_in,ms_now
0,0,0,0,0,1
0,0,0,0,0,39
0,0,0,0,0,63
0,0,0,0,0,78
0,0,0,0,0,95
0,0,0,0,0,113
0,0,0,0,0,128
0,0,0,0,0,144
0,0,0,0,0,162
0,0,0,0,0,177
0,0,0,0,0,194
0,0,0,0,0,211
0,0,0,0,0,227
0,0,0,0,0,244
0,0,0,0,0,261
0,0,0,0,0,278
0,0,0,0,0,294
0,0,0,0,0,311
0,0,0,0,0,328
0,0,0,0,0,345
0,0,0,0,0,361
0,0,0,0,0,377
0,0,0,0,0,395
0,1,0,0,0,413
0,0,0,0,0,430
0,1,0,0,0,446
0,1,0,0,0,463
0,1,0,0,0,479
0,1,0,0,0,496
0,0,0,0,0,512
0,1,0,0,0,528
0,0,0,0,0,546
0,0,0,0,0,563
0,0,0,0,0,578
0,1,0,0,0,598
0,0,0,0,0,613
0,0,0,0,0,629
0,1,0,0,0,646
0,0,0,0,0,662
0,2,0,0,0,679
0,0,0,0,0,696
0,0,0,0,0,713
0,0,0,0,0,729
0,1,0,0,0,746
0,0,0,0,0,762
0,0,0,0,0,779
0,1,0,0,0,796
0,0,0,0,0,812
0,1,0,0,0,829
0,1,0,0,0,846
0,1,0,0,0,863
0,0,0,0,0,879
0,1,0,0,0,896
0,1,0,0,0,912
0,1,0,0,0,929
0,2,0,0,0,946
0,1,0,0,0,962
0,0,0,0,0,977
0,1,0,0,0,994
0,0,0,0,0,1011
0,1,0,0,0,1028
0,0,0,0,0,1046
0,1,0,0,0,1063
0,1,0,0,0,1080
0,1,0,0,0,1096
0,1,0,0,0,1114
0,0,0,0,0,1130
0,0,0,0,0,1146
0,1,0,0,0,1163
0,2,0,0,0,1179
0,2,0,0,0,1196
0,2,0,0,0,1212
0,1,0,0,0,1229
0,2,0,0,0,1245
0,3,0,0,0,1261
0,1,0,0,0,1278
0,2,0,0,0,1296
0,2,0,0,0,1313
0,1,0,0,0,1330
0,1,0,0,0,1347
0,0,0,0,0,1362
0,0,0,0,0,1378
0,0,0,0,0,1395
0,0,0,0,0,1412
0,0,0,0,0,1428
0,0,0,0,0,1444
0,0,0,0,0,1461
0,0,0,0,0,1478
0,0,0,0,0,1494
0,0,0,0,0,1511
0,0,0,0,0,1528
0,0,0,0,0,1544
0,0,0,0,0,1562
0,0,0,0,0,1578
0,0,0,0,0,1595
0,0,0,0,0,1612
0,0,0,0,0,1628
0,0,0,0,0,1644
0,0,0,0,0,1661
0,0,0,0,0,1678
0,0,0,0,0,1696
0,-2,0,0,0,1712
0,-1,0,0,0,1729
0,0,0,0,0,1746
0,-1,0,0,0,1765
0,0,0,0,0,1779
0,0,0,0,0,1798
0,0,0,0,0,1816
0,0,0,0,0,1829
0,0,0,0,0,1845
0,0,0,0,0,1863
0,0,0,0,0,1879
0,0,0,0,0,1895
0,1,0,0,0,1912
0,1,0,0,0,1929
0,2,0,0,0,1945
0,1,0,0,0,1964
0,0,0,0,0,1980
0,0,0,0,0,1996
0,2,0,0,0,2013
0,0,0,0,0,2030
0,0,0,0,0,2045
0,0,0,0,0,2062
0,0,0,0,0,2079
0,0,0,0,0,2096
0,-1,0,0,0,2114
0,-1,0,0,0,2130
0,0,0,0,0,2146
0,-1,0,0,0,2163
0,0,0,0,0,2179
0,1,0,0,0,2195
0,0,0,0,0,2214
0,0,0,0,0,2229
0,0,0,0,0,2245
0,0,0,0,0,2262
0,1,0,0,0,2278
0,1,0,0,0,2295
0,0,0,0,0,2312
0,1,0,0,0,2334
0,1,0,0,0,2348
0,0,0,0,0,2364
0,0,0,0,0,2379
0,0,0,0,0,2395
0,0,0,0,0,2412
0,0,0,0,0,2429
0,0,0,0,0,2448
0,0,0,0,0,2462
0,0,0,0,0,2478
0,1,0,0,0,2496
0,0,0,0,0,2512
0,0,0,0,0,2529
0,0,0,0,0,2545
0,0,0,0,0,2561
0,1,0,0,0,2579
0,0,0,0,0,2596
0,0,0,0,0,2611
0,0,0,0,0,2628
0,0,0,0,0,2647
0,0,0,0,0,2664
0,0,0,0,0,2678
0,0,0,0,0,2694
0,0,0,0,0,2712
0,0,0,0,0,2729
0,0,0,0,0,2745
0,0,0,0,0,2761
0,0,0,0,0,2778
0,0,0,0,0,2795
0,0,0,0,0,2811
0,0,0,0,0,2827
0,0,0,0,0,2844
0,0,0,0,0,2861
0,0,0,0,0,2877
0,0,0,0,0,2895
0,0,0,0,0,2912
0,0,0,0,0,2928
0,0,0,0,0,2946
0,-1,0,0,0,2963
0,0,0,0,0,2978
0,0,0,0,0,2996
0,0,0,0,0,3012
0,-1,0,0,0,3029
0,0,0,0,0,3046
0,0,0,0,0,3063
0,-1,0,0,0,3080
0,0,0,0,0,3095
0,-1,0,0,0,3113
0,0,0,0,0,3132
0,0,0,0,0,3146
0,0,0,0,0,3162
0,-1,0,0,0,3182
0,0,0,0,0,3196
0,-1,0,0,0,3212
0,0,0,0,0,3229
0,-1,0,0,0,3245
0,0,0,0,0,3262
0,0,0,0,0,3281
0,0,0,0,0,3295
0,0,0,0,0,3312
0,0,0,0,0,3329
0,1,0,0,0,3350
0,0,0,0,0,3361
0,0,0,0,0,3379
0,0,0,0,0,3395
0,0,0,0,0,3412
0,0,0,0,0,3429
0,0,0,0,0,3446
0,1,0,0,0,3462
0,0,0,0,0,3479
0,0,0,0,0,3495
0,0,0,0,0,3512
0,1,0,0,0,3529
0,1,0,0,0,3546
0,0,0,0,0,3562
0,0,0,0,0,3579
0,1,0,0,0,3596
0,0,0,0,0,3616
0,1,0,0,0,3630
0,0,0,0,0,3646
0,0,0,0,0,3664
0,0,0,0,0,3679
0,0,0,0,0,3695
0,0,0,0,0,3714
0,0,0,0,0,3729
0,0,0,0,0,3745
0,1,0,0,0,3762
0,0,0,0,0,3778
0,0,0,0,0,3795
0,0,0,0,0,3813
0,1,0,0,0,3831
0,0,0,0,0,3846
0,0,0,0,0,3863
0,0,0,0,0,3879
0,0,0,0,0,3896
0,0,0,0,0,3915
0,0,0,0,0,3930
0,2,0,0,0,3945
0,0,0,0,0,3963
0,0,0,0,0,3979
0,0,0,0,0,3997
0,0,0,0,0,4012
0,0,0,0,0,4028
0,0,0,0,0,4044
0,0,0,0,0,4061
0,0,0,0,0,4078
0,0,0,0,0,4096
0,0,0,0,0,4113
0,0,0,0,0,4130
0,0,0,0,0,4144
0,0,0,0,0,4161
0,1,0,0,0,4178
0,1,0,0,0,4196
0,2,0,0,0,4213
0,1,0,0,0,4228
0,2,0,0,0,4246
0,3,0,0,0,4262
0,2,0,0,0,4279
0,2,0,0,0,4301
0,0,0,0,0,4313
0,1,0,0,0,4328
0,2,0,0,0,4348
0,1,0,0,0,4363
0,2,0,0,0,4385
0,1,0,0,0,4396
0,1,0,0,0,4411
0,2,0,0,0,4428
0,0,0,0,0,4446
0,1,0,0,0,4462
0,1,0,0,0,4478
0,2,0,0,0,4494
0,0,0,0,0,4513
0,2,0,0,0,4529
0,1,0,0,0,4546
0,0,0,0,0,4562
0,1,0,0,0,4578
0,0,0,0,0,4594
0,1,0,0,0,4611
