head_yaw,head_thrust,head_slip,head_x,head_z,head_yaw_angle,reward_out,lick_in,loom_cur_distance,ms_now
0,0,0,0.5,0,180,0,0,20,1
0,0,0,0.5,0,180,0,0,20,45
0,0,0,0.5,0,180,0,0,20,57
0,0,0,0.5,0,180,0,0,20,74
0,0,0,0.5,0,180,0,0,20,91
0,0,0,0.5,0,180,0,0,20,108
0,0,0,0.5,0,180,0,0,20,125
0,0,0,0.5,0,180,0,0,20,141
0,0,0,0.5,0,180,0,0,20,159
0,0,0,0.5,0,180,0,0,20,174
0,0,0,0.5,0,180,0,0,20,191
0,0,0,0.5,0,180,0,0,20,207
0,0,0,0.5,0,180,0,0,20,224
0,0,0,0.5,0,180,0,0,20,241
0,0,0,0.5,0,180,0,0,20,257
0,0,0,0.5,0,180,0,0,20,274
0,0,0,0.5,0,180,0,0,20,291
0,0,0,0.5,0,180,0,0,20,308
0,0,0,0.5,0,180,0,0,20,324
0,0,0,0.5,0,180,0,0,20,341
0,0,0,0.5,0,180,0,0,20,358
0,0,0,0.5,0,180,0,0,20,374
0,0,0,0.5,0,180,0,0,20,391
0,0,0,0.5,0,180,0,0,20,407
0,0,0,0.5,0,180,0,0,20,424
0,0,0,0.5,0,180,0,0,20,441
0,0,0,0.5,0,180,0,0,20,458
0,0,0,0.5,0,180,0,0,20,474
0,8,0,0.5,0.00108,180,0,0,20,491
-1,9,0,0.5,0.002295,180,0,0,20,508
0,6,0,0.5,0.003105,180,0,0,20,525
-1,8,0,0.5,0.004185,180,0,0,20,542
0,4,0,0.5,0.004725,180,0,0,20,558
0,4,0,0.5,0.005265,180,0,0,20,575
-1,7,0,0.5,0.00621,180,0,0,20,591
-1,5,0,0.5,0.006885,180,0,0,20,608
0,3,0,0.5,0.00729,180,0,0,20,625
-1,5,0,0.5,0.007965,180,0,0,20,641
0,3,0,0.5,0.00837,180,0,0,20,657
-1,2,0,0.5,0.00864,180,0,0,20,674
0,2,0,0.5,0.00891,180,0,0,20,691
0,5,0,0.5,0.009585,180,0,0,20,708
0,5,0,0.5,0.01026,180,0,0,20,725
0,4,0,0.5,0.0108,180,0,0,20,741
0,5,0,0.5,0.011475,180,0,0,20,759
0,1,0,0.5,0.01161,180,0,0,20,775
0,1,0,0.5,0.011745,180,0,0,20,793
0,0,0,0.5,0.011745,180,0,0,20,808
0,1,0,0.5,0.01188,180,0,0,20,825
-1,8,0,0.5,0.01296,180,0,0,20,843
0,6,0,0.5,0.01377,180,0,0,20,858
-1,8,0,0.5,0.01485,180,0,0,20,875
-2,14,0,0.5,0.01674,180,0,0,20,892
-1,10,0,0.5,0.01809,180,0,0,20,908
-3,23,0,0.5,0.021195,180,0,0,20,926
-3,22,0,0.5,0.024165,180,0,0,20,942
-6,27,0,0.5,0.02781,180,0,0,20,958
-8,44,0,0.5,0.03375,180,0,0,20,975
-4,33,0,0.5,0.038205,180,0,0,20,992
-7,46,0,0.5,0.044415,180,0,0,20,1009
-4,29,0,0.5,0.04833,180,0,0,20,1026
-4,26,0,0.5,0.05184,180,0,0,20,1042
-3,28,0,0.5,0.05562,180,0,0,20,1059
-2,16,0,0.5,0.05778,180,0,0,20,1075
-1,13,0,0.5,0.059535,180,0,0,20,1092
-2,19,0,0.5,0.0621,180,0,0,20,1110
-2,12,0,0.5,0.06372,180,0,0,20,1125
-3,15,0,0.5,0.065745,180,0,0,20,1142
0,6,0,0.5,0.066555,180,0,0,20,1158
0,4,0,0.5,0.067095,180,0,0,20,1176
-1,1,0,0.5,0.06723,180,0,0,20,1192
0,0,0,0.5,0.06723,180,0,0,20,1208
0,0,0,0.5,0.06723,180,0,0,20,1225
0,0,0,0.5,0.06723,180,0,0,20,1241
1,-3,0,0.5,0.066825,180,0,0,20,1259
5,-15,0,0.5,0.0648,180,0,0,20,1275
3,-10,0,0.5,0.06345,180,0,0,20,1292
4,-13,0,0.5,0.061695,180,0,0,20,1309
3,-10,0,0.5,0.060345,180,0,0,20,1325
1,-9,0,0.5,0.05913,180,0,0,20,1343
2,-12,0,0.5,0.05751,180,0,0,20,1358
1,-8,0,0.5,0.05643,180,0,0,20,1375
2,-9,0,0.5,0.055215,180,0,0,20,1393
1,-4,0,0.5,0.054675,180,0,0,20,1409
1,-3,0,0.5,0.05427,180,0,0,20,1425
0,-2,0,0.5,0.054,180,0,0,20,1442
2,-1,0,0.5,0.053865,180,0,0,20,1458
0,-1,0,0.5,0.05373,180,0,0,20,1475
0,-1,0,0.5,0.053595,180,0,0,20,1492
0,0,0,0.5,0.053595,180,0,0,20,1508
0,0,0,0.5,0.053595,180,0,0,20,1525
0,-1,0,0.5,0.05346,180,0,0,20,1542
0,0,0,0.5,0.05346,180,0,0,20,1558
0,-1,0,0.5,0.053325,180,0,0,20,1575
1,-3,0,0.5,0.05292,180,0,0,20,1592
0,-4,0,0.5,0.05238,180,0,0,20,1609
1,-6,0,0.5,0.05157,180,0,0,20,1625
1,-6,0,0.5,0.05076,180,0,0,20,1643
2,-9,0,0.5,0.049545,180,0,0,20,1659
1,-7,0,0.5,0.0486,180,0,0,20,1675
4,-9,0,0.5,0.047385,180,0,0,20,1693
2,-6,0,0.5,0.046575,180,0,0,20,1708
2,-10,0,0.5,0.045225,180,0,0,20,1726
4,-19,0,0.5,0.04266,180,0,0,20,1742
4,-15,0,0.5,0.040635,180,0,0,20,1758
3,-22,0,0.5,0.037665,180,0,0,20,1776
3,-13,0,0.5,0.03591,180,0,0,20,1792
3,-11,0,0.5,0.034425,180,0,0,20,1809
3,-13,0,0.5,0.03267,180,0,0,20,1826
3,-8,0,0.5,0.03159,180,0,0,20,1841
2,-7,0,0.5,0.030645,180,0,0,20,1859
2,-10,0,0.5,0.029295,180,0,0,20,1875
2,-7,0,0.5,0.02835,180,0,0,20,1892
2,-11,0,0.5,0.026865,180,0,0,20,1909
1,-7,0,0.5,0.02592,180,0,0,20,1925
3,-6,0,0.5,0.02511,180,0,0,20,1942
3,-8,0,0.5,0.02403,180,0,0,20,1958
2,-6,0,0.5,0.02322,180,0,0,20,1975
2,-6,0,0.5,0.02241,180,0,0,20,1992
5,-10,0,0.5,0.02106,180,0,0,20,2008
2,-7,0,0.5,0.020115,180,0,0,20,2025
2,-9,0,0.5,0.0189,180,0,0,20,2043
1,-5,0,0.5,0.018225,180,0,0,20,2058
2,-5,0,0.5,0.01755,180,0,0,20,2076
3,-7,0,0.5,0.016605,180,0,0,20,2092
2,-5,0,0.5,0.01593,180,0,0,20,2110
2,-6,0,0.5,0.01512,180,0,0,20,2126
1,-4,0,0.5,0.01458,180,0,0,20,2142
0,-1,0,0.5,0.014445,180,0,0,20,2159
0,0,0,0.5,0.014445,180,0,0,20,2175
0,0,0,0.5,0.014445,180,0,0,20,2192
0,0,0,0.5,0.014445,180,0,0,20,2208
0,3,0,0.5,0.01485,180,0,0,20,2225
-2,9,0,0.5,0.016065,180,0,0,20,2242
-4,18,0,0.5,0.018495,180,0,0,20,2258
-6,17,0,0.5,0.02079,180,0,0,20,2275
-12,31,0,0.5,0.024975,180,0,0,20,2293
-11,27,0,0.5,0.02862,180,0,0,20,2308
-11,28,0,0.5,0.0324,180,0,0,20,2325
-19,49,0,0.5,0.039015,180,0,0,20,2342
-11,33,0,0.5,0.04347,180,0,0,20,2358
-8,33,0,0.5,0.047925,180,0,0,20,2375
-11,44,0,0.5,0.053865,180,0,0,20,2392
-8,29,0,0.5,0.05778,180,0,0,20,2408
-10,39,0,0.5,0.063045,180,0,0,20,2426
-6,23,0,0.5,0.06615,180,0,0,20,2442
-5,21,0,0.5,0.068985,180,0,0,20,2459
-6,26,0,0.5,0.072495,180,0,0,20,2475
-2,15,0,0.5,0.07452,180,0,0,20,2492
-3,20,0,0.5,0.07722,180,0,0,20,2509
-3,8,0,0.5,0.0783,180,0,0,20,2525
-2,2,0,0.5,0.07857,180,0,0,20,2542
0,0,0,0.5,0.07857,180,0,0,20,2558
0,0,0,0.5,0.07857,180,0,0,20,2575
0,0,0,0.5,0.07857,180,0,0,20,2591
0,0,0,0.5,0.07857,180,0,0,20,2608
0,0,0,0.5,0.07857,180,0,0,20,2625
0,0,0,0.5,0.07857,180,0,0,20,2642
0,0,0,0.5,0.07857,180,0,0,20,2658
0,0,0,0.5,0.07857,180,0,0,20,2675
0,0,0,0.5,0.07857,180,0,0,20,2692
0,0,0,0.5,0.07857,180,0,0,20,2708
0,0,0,0.5,0.07857,180,0,0,20,2725
0,0,0,0.5,0.07857,180,0,0,20,2742
0,0,0,0.5,0.07857,180,0,0,20,2758
0,0,0,0.5,0.07857,180,0,0,20,2775
0,0,0,0.5,0.07857,180,0,0,20,2792
-3,15,0,0.5,0.080595,180,0,0,20,2809
-10,32,0,0.5,0.084915,180,0,0,20,2825
-8,30,0,0.5,0.088965,180,0,0,20,2843
-5,29,0,0.5,0.09288,180,0,0,20,2859
-1,12,0,0.5,0.0945,180,0,0,20,2875
1,18,0,0.5,0.09693,180,0,0,20,2893
-1,13,0,0.5,0.098685,180,0,0,20,2908
-3,17,0,0.5,0.10098,180,0,0,20,2926
-5,32,0,0.5,0.1053,180,0,0,20,2943
-3,19,0,0.5,0.107865,180,0,0,20,2959
-2,18,0,0.5,0.110295,180,0,0,20,2976
0,8,0,0.5,0.111375,180,0,0,20,2993
2,4,0,0.5,0.111915,180,0,0,20,3009
0,3,0,0.5,0.11232,180,0,0,20,3026
0,0,0,0.5,0.11232,180,0,0,20,3042
0,0,0,0.5,0.11232,180,0,0,20,3058
0,0,0,0.5,0.11232,180,0,0,20,3075
0,0,0,0.5,0.11232,180,0,0,20,3093
0,0,0,0.5,0.11232,180,0,0,20,3109
0,0,0,0.5,0.11232,180,0,0,20,3125
0,0,0,0.5,0.11232,180,0,0,20,3142
-4,6,0,0.5,0.11313,180,0,0,20,3160
0,0,0,0.5,0.11313,180,0,0,20,3175
0,0,0,0.5,0.11313,180,0,0,20,3192
0,0,0,0.5,0.11313,180,0,0,20,3208
0,0,0,0.5,0.11313,180,0,0,20,3225
0,0,0,0.5,0.11313,180,0,0,20,3241
0,0,0,0.5,0.11313,180,0,0,20,3258
0,0,0,0.5,0.11313,180,0,0,20,3275
0,0,0,0.5,0.11313,180,0,0,20,3291
0,0,0,0.5,0.11313,180,0,0,20,3308
0,0,0,0.5,0.11313,180,0,0,20,3325
0,0,0,0.5,0.11313,180,0,0,20,3342
0,0,0,0.5,0.11313,180,0,0,20,3358
0,0,0,0.5,0.11313,180,0,0,20,3375
0,0,0,0.5,0.11313,180,0,0,20,3392
0,0,0,0.5,0.11313,180,0,0,20,3408
0,0,0,0.5,0.11313,180,0,0,20,3425
0,0,0,0.5,0.11313,180,0,0,20,3442
0,0,0,0.5,0.11313,180,0,0,20,3459
0,0,0,0.5,0.11313,180,0,0,19.583333,3477
0,0,0,0.5,0.11313,180,0,0,19.166667,3492
0,0,0,0.5,0.11313,180,0,0,18.75,3508
0,0,0,0.5,0.11313,180,0,0,18.333333,3525
0,0,0,0.5,0.11313,180,0,0,17.916667,3542
0,0,0,0.5,0.11313,180,0,0,17.5,3558
0,0,0,0.5,0.11313,180,0,0,17.083333,3575
0,0,0,0.5,0.11313,180,0,0,16.666667,3592
0,0,0,0.5,0.11313,180,0,0,16.25,3608
0,0,0,0.5,0.11313,180,0,0,15.833333,3625
0,0,0,0.5,0.11313,180,0,0,15.416667,3642
0,0,0,0.5,0.11313,180,0,0,15,3658
0,0,0,0.5,0.11313,180,0,0,14.583333,3675
0,0,0,0.5,0.11313,180,0,0,14.166667,3692
0,0,0,0.5,0.11313,180,0,0,13.75,3708
0,0,0,0.5,0.11313,180,0,0,13.333333,3725
0,0,0,0.5,0.11313,180,0,0,12.916667,3742
0,0,0,0.5,0.11313,180,0,0,12.5,3758
0,0,0,0.5,0.11313,180,0,0,12.083333,3775
0,0,0,0.5,0.11313,180,0,0,11.666667,3792
0,0,0,0.5,0.11313,180,0,0,11.25,3808
0,0,0,0.5,0.11313,180,0,0,10.833333,3825
0,0,0,0.5,0.11313,180,0,0,10.416667,3842
0,0,0,0.5,0.11313,180,0,0,10,3858
0,0,0,0.5,0.11313,180,0,0,9.583333,3875
0,0,0,0.5,0.11313,180,0,0,9.166667,3892
0,0,0,0.5,0.11313,180,0,0,8.75,3908
0,0,0,0.5,0.11313,180,0,0,8.333333,3925
0,0,0,0.5,0.11313,180,0,0,7.916667,3942
0,0,0,0.5,0.11313,180,0,0,7.5,3958
0,0,0,0.5,0.11313,180,0,0,7.083333,3975
0,0,0,0.5,0.11313,180,0,0,6.666667,3992
0,0,0,0.5,0.11313,180,0,0,6.25,4008
