head_yaw,head_thrust,head_slip,current_condition,loom_cur_distance,ms_now
0,12,0,0,20,90749
0,0,0,0,20,90757
0,3,0,0,20,90769
0,3,0,0,20,90788
0,3,0,0,20,90802
0,3,0,0,20,90817
0,2,0,0,20,90833
0,3,0,0,20,90853
0,3,0,0,20,90868
0,3,0,0,20,90883
0,3,0,0,20,90899
0,6,0,0,20,90920
0,0,0,0,20,90932
0,3,0,0,20,90949
0,6,0,0,20,90966
0,3,0,0,20,90983
0,3,0,0,20,90999
0,3,0,0,20,91016
0,3,0,0,20,91032
0,2,0,0,20,91049
0,4,0,0,20,91066
0,0,0,0,20,91082
0,5,0,0,20,91099
0,3,0,0,20,91116
0,2,0,0,20,91133
0,3,0,0,20,91149
0,0,0,0,20,91166
0,2,0,0,20,91183
0,3,0,0,20,91200
0,4,0,0,20,91216
0,4,0,0,20,91233
0,4,0,0,20,91249
0,2,0,0,20,91266
0,3,0,0,20,91282
0,5,0,0,20,91299
0,7,0,0,20,91316
0,9,0,0,20,91332
0,10,0,0,20,91349
0,20,0,0,20,91366
0,4,0,0,20,91382
0,0,0,0,20,91399
0,5,0,0,20,91416
0,4,0,0,20,91432
0,2,0,0,20,91449
0,5,0,0,20,91466
0,3,0,0,20,91482
0,3,0,0,20,91499
0,3,0,0,20,91516
0,3,0,0,20,91535
0,3,0,0,20,91549
0,3,0,0,20,91566
0,3,0,0,20,91583
0,3,0,0,20,91599
0,3,0,0,20,91616
0,3,0,0,20,91632
0,3,0,0,20,91649
0,3,0,0,20,91666
0,2,0,0,20,91682
0,3,0,0,20,91699
0,1,0,0,20,91716
0,4,0,0,20,91732
0,6,0,0,20,91749
0,7,0,0,20,91766
0,6,0,0,20,91783
0,0,0,0,20,91799
0,6,0,0,20,91816
0,3,0,0,20,91833
0,3,0,0,20,91849
0,3,0,0,20,91866
0,3,0,0,20,91883
0,3,0,0,20,91899
0,0,0,0,20,91915
0,6,0,0,20,91932
0,3,0,0,20,91949
0,3,0,0,20,91966
0,3,0,0,20,91983
0,3,0,0,20,92001
0,3,0,0,20,92016
0,3,0,0,20,92033
0,3,0,0,20,92049
0,2,0,0,20,92066
0,2,0,0,20,92082
0,3,0,0,20,92099
0,4,0,0,20,92116
0,6,0,0,20,92133
0,4,0,0,20,92149
0,3,0,0,20,92166
0,5,0,0,20,92183
0,3,0,0,20,92201
0,3,0,0,20,92216
0,3,0,0,20,92233
0,3,0,0,20,92249
0,3,0,0,20,92266
0,3,0,0,20,92283
0,3,0,0,20,92299
0,3,0,0,20,92316
0,3,0,0,20,92332
0,3,0,0,20,92349
0,3,0,0,20,92366
0,2,0,0,20,92382
0,3,0,0,20,92399
0,3,0,0,20,92416
0,3,0,0,20,92433
0,3,0,0,20,92449
0,2,0,0,20,92466
0,3,0,0,20,92482
0,3,0,0,20,92499
0,2,0,0,20,92516
0,3,0,0,20,92534
0,3,0,0,20,92549
0,3,0,0,20,92566
0,3,0,0,20,92583
0,6,0,0,20,92599
0,3,0,0,20,92616
0,3,0,0,20,92632
0,3,0,0,20,92649
0,3,0,0,20,92666
0,3,0,0,20,92682
0,2,0,0,20,92699
0,2,0,0,20,92716
0,3,0,0,20,92732
0,3,0,0,20,92749
